mode=full seed=0 output_dir=runs/baseline-20260718T074451Z/full-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mpe2znwl
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_140711-mpe2znwl
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run full-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/mpe2znwl
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: full-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/full-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:58/4768 | loss 6.811662 | lr:0.000407812 | train_time:276.72s | step:4151.67ms
step:59/4768 | loss 6.736852 | lr:0.000414844 | train_time:280.87s | step:4150.59ms
step:60/4768 | loss 6.758155 | lr:0.000421875 | train_time:285.02s | step:4153.35ms
step:61/4768 | loss 6.732609 | lr:0.000428906 | train_time:289.19s | step:4166.40ms
step:62/4768 | loss 6.695735 | lr:0.000435937 | train_time:293.34s | step:4155.23ms
step:63/4768 | loss 6.670466 | lr:0.000442969 | train_time:297.50s | step:4155.80ms
step:64/4768 | loss 6.731158 | lr:0.00045 | train_time:301.66s | step:4162.31ms
step:65/4768 | loss 6.610878 | lr:0.000457031 | train_time:305.82s | step:4159.86ms
step:66/4768 | loss 6.647773 | lr:0.000464063 | train_time:309.99s | step:4166.57ms
step:67/4768 | loss 6.655762 | lr:0.000471094 | train_time:314.16s | step:4174.29ms
step:68/4768 | loss 6.728272 | lr:0.000478125 | train_time:318.32s | step:4160.53ms
step:69/4768 | loss 6.613041 | lr:0.000485156 | train_time:322.47s | step:4147.95ms
step:70/4768 | loss 6.642590 | lr:0.000492188 | train_time:326.63s | step:4163.84ms
step:71/4768 | loss 6.565573 | lr:0.000499219 | train_time:330.78s | step:4147.13ms
step:72/4768 | loss 6.557431 | lr:0.00050625 | train_time:334.95s | step:4168.90ms
step:73/4768 | loss 6.561204 | lr:0.000513281 | train_time:339.11s | step:4157.58ms
step:74/4768 | loss 6.525204 | lr:0.000520312 | train_time:343.27s | step:4161.56ms
step:75/4768 | loss 6.538175 | lr:0.000527344 | train_time:347.43s | step:4160.23ms
step:76/4768 | loss 6.500349 | lr:0.000534375 | train_time:351.58s | step:4152.13ms
step:77/4768 | loss 6.569783 | lr:0.000541406 | train_time:355.74s | step:4162.23ms
step:78/4768 | loss 6.524898 | lr:0.000548437 | train_time:359.91s | step:4171.26ms
step:79/4768 | loss 6.287147 | lr:0.000555469 | train_time:364.07s | step:4159.10ms
step:80/4768 | loss 6.445835 | lr:0.0005625 | train_time:368.24s | step:4167.40ms
step:81/4768 | loss 6.414474 | lr:0.000569531 | train_time:372.40s | step:4154.82ms
step:82/4768 | loss 6.519414 | lr:0.000576563 | train_time:376.56s | step:4163.09ms
step:83/4768 | loss 6.456448 | lr:0.000583594 | train_time:380.72s | step:4164.48ms
step:84/4768 | loss 6.419631 | lr:0.000590625 | train_time:384.89s | step:4170.56ms
step:85/4768 | loss 6.389284 | lr:0.000597656 | train_time:389.06s | step:4168.30ms
step:86/4768 | loss 6.372160 | lr:0.000604687 | train_time:393.21s | step:4149.52ms
step:87/4768 | loss 6.377888 | lr:0.000611719 | train_time:397.37s | step:4160.11ms
step:88/4768 | loss 6.382953 | lr:0.00061875 | train_time:401.52s | step:4149.49ms
step:89/4768 | loss 6.370914 | lr:0.000625781 | train_time:405.69s | step:4164.11ms
step:90/4768 | loss 6.327791 | lr:0.000632813 | train_time:409.86s | step:4169.69ms
step:91/4768 | loss 6.349942 | lr:0.000639844 | train_time:414.01s | step:4158.07ms
step:92/4768 | loss 6.358041 | lr:0.000646875 | train_time:418.15s | step:4140.35ms
step:93/4768 | loss 6.356573 | lr:0.000653906 | train_time:422.32s | step:4164.31ms
step:94/4768 | loss 6.313360 | lr:0.000660937 | train_time:426.48s | step:4165.07ms
step:95/4768 | loss 6.266246 | lr:0.000667969 | train_time:430.64s | step:4155.72ms
step:96/4768 | loss 6.207318 | lr:0.000675 | train_time:434.81s | step:4169.55ms
step:97/4768 | loss 6.308507 | lr:0.000682031 | train_time:438.98s | step:4168.03ms
step:98/4768 | loss 6.257124 | lr:0.000689063 | train_time:443.13s | step:4156.48ms
step:99/4768 | loss 6.231513 | lr:0.000696094 | train_time:447.30s | step:4165.29ms
step:100/4768 | loss 6.216994 | lr:0.000703125 | train_time:451.45s | step:4157.02ms
step:101/4768 | loss 6.238967 | lr:0.000710156 | train_time:455.62s | step:4161.35ms
step:102/4768 | loss 6.180045 | lr:0.000717187 | train_time:459.77s | step:4157.75ms
step:103/4768 | loss 6.192051 | lr:0.000724219 | train_time:463.93s | step:4157.87ms
step:104/4768 | loss 6.202754 | lr:0.00073125 | train_time:468.10s | step:4163.86ms
step:105/4768 | loss 6.213045 | lr:0.000738281 | train_time:472.26s | step:4167.83ms
step:106/4768 | loss 6.266375 | lr:0.000745312 | train_time:476.43s | step:4169.16ms
step:107/4768 | loss 6.223782 | lr:0.000752344 | train_time:480.60s | step:4163.98ms
step:108/4768 | loss 6.170598 | lr:0.000759375 | train_time:484.75s | step:4153.07ms
step:109/4768 | loss 6.207525 | lr:0.000766406 | train_time:488.90s | step:4153.08ms
step:110/4768 | loss 6.231088 | lr:0.000773437 | train_time:493.06s | step:4155.53ms
step:111/4768 | loss 6.152005 | lr:0.000780469 | train_time:497.21s | step:4153.02ms
step:112/4768 | loss 6.161515 | lr:0.0007875 | train_time:501.37s | step:4159.74ms
