mode=proxy seed=0 output_dir=runs/baseline-20260718T074451Z/proxy-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0ty30mlf
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_074458-0ty30mlf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run proxy-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/0ty30mlf
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: proxy-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/proxy-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
/venv/main/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:322: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
step:56/1788 | loss 6.637385 | lr:0.00105 | train_time:288.69s | step:4037.28ms
step:57/1788 | loss 6.601787 | lr:0.00106875 | train_time:292.73s | step:4038.02ms
step:58/1788 | loss 6.641284 | lr:0.0010875 | train_time:296.77s | step:4038.23ms
step:59/1788 | loss 6.560848 | lr:0.00110625 | train_time:300.81s | step:4039.17ms
step:60/1788 | loss 6.600981 | lr:0.001125 | train_time:304.84s | step:4039.03ms
step:61/1788 | loss 6.595635 | lr:0.00114375 | train_time:308.88s | step:4039.63ms
step:62/1788 | loss 6.544409 | lr:0.0011625 | train_time:312.92s | step:4039.85ms
step:63/1788 | loss 6.528464 | lr:0.00118125 | train_time:316.96s | step:4040.35ms
step:64/1788 | loss 6.604453 | lr:0.0012 | train_time:321.01s | step:4043.34ms
step:65/1788 | loss 6.499355 | lr:0.00121875 | train_time:325.05s | step:4042.10ms
step:66/1788 | loss 6.521449 | lr:0.0012375 | train_time:329.09s | step:4042.07ms
step:67/1788 | loss 6.517061 | lr:0.00125625 | train_time:333.13s | step:4042.18ms
step:68/1788 | loss 6.571261 | lr:0.001275 | train_time:337.18s | step:4044.96ms
step:69/1788 | loss 6.503729 | lr:0.00129375 | train_time:341.22s | step:4043.13ms
step:70/1788 | loss 6.479463 | lr:0.0013125 | train_time:345.27s | step:4042.96ms
step:71/1788 | loss 6.445722 | lr:0.00133125 | train_time:349.32s | step:4059.22ms
step:72/1788 | loss 6.431089 | lr:0.00135 | train_time:353.38s | step:4055.54ms
step:73/1788 | loss 6.460763 | lr:0.00136875 | train_time:357.44s | step:4059.93ms
step:74/1788 | loss 6.409436 | lr:0.0013875 | train_time:361.49s | step:4049.15ms
step:75/1788 | loss 6.422672 | lr:0.00140625 | train_time:365.55s | step:4063.47ms
step:76/1788 | loss 6.387925 | lr:0.001425 | train_time:369.62s | step:4064.59ms
step:77/1788 | loss 6.467042 | lr:0.00144375 | train_time:373.67s | step:4050.53ms
step:78/1788 | loss 6.449201 | lr:0.0014625 | train_time:377.72s | step:4049.28ms
step:79/1788 | loss 6.234792 | lr:0.00148125 | train_time:381.77s | step:4049.24ms
step:80/1788 | loss 6.415805 | lr:0.0015 | train_time:385.82s | step:4057.96ms
step:81/1788 | loss 6.369603 | lr:0.00151875 | train_time:389.88s | step:4058.65ms
step:82/1788 | loss 6.468277 | lr:0.0015375 | train_time:393.94s | step:4060.68ms
step:83/1788 | loss 6.405995 | lr:0.00155625 | train_time:398.02s | step:4078.97ms
step:84/1788 | loss 6.357078 | lr:0.001575 | train_time:402.10s | step:4080.99ms
step:85/1788 | loss 6.306475 | lr:0.00159375 | train_time:406.17s | step:4067.73ms
step:86/1788 | loss 6.319749 | lr:0.0016125 | train_time:410.25s | step:4075.43ms
step:87/1788 | loss 6.299720 | lr:0.00163125 | train_time:414.31s | step:4062.41ms
step:88/1788 | loss 6.288237 | lr:0.00165 | train_time:418.39s | step:4081.56ms
step:89/1788 | loss 6.285897 | lr:0.00166875 | train_time:422.47s | step:4080.55ms
step:90/1788 | loss 6.237298 | lr:0.0016875 | train_time:426.55s | step:4080.19ms
step:91/1788 | loss 6.266259 | lr:0.00170625 | train_time:430.63s | step:4076.32ms
step:92/1788 | loss 6.261190 | lr:0.001725 | train_time:434.71s | step:4078.23ms
step:93/1788 | loss 6.262386 | lr:0.00174375 | train_time:438.77s | step:4068.62ms
step:94/1788 | loss 6.218233 | lr:0.0017625 | train_time:442.85s | step:4079.57ms
