mode=proxy seed=2 output_dir=runs/baseline-20260718T074451Z/proxy-seed-2
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mxrhbgp8
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_115912-mxrhbgp8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run proxy-seed-2
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/mxrhbgp8
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: proxy-seed-2 | seed: 2 | output: runs/baseline-20260718T074451Z/proxy-seed-2
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:58/1788 | loss 6.657166 | lr:0.0010875 | train_time:278.16s | step:4186.73ms
step:59/1788 | loss 6.603081 | lr:0.00110625 | train_time:282.34s | step:4175.46ms
step:60/1788 | loss 6.636219 | lr:0.001125 | train_time:286.51s | step:4174.39ms
step:61/1788 | loss 6.695264 | lr:0.00114375 | train_time:290.68s | step:4171.94ms
step:62/1788 | loss 6.585154 | lr:0.0011625 | train_time:294.87s | step:4181.64ms
step:63/1788 | loss 6.602913 | lr:0.00118125 | train_time:299.04s | step:4177.62ms
step:64/1788 | loss 6.651990 | lr:0.0012 | train_time:303.21s | step:4170.94ms
step:65/1788 | loss 6.517763 | lr:0.00121875 | train_time:307.38s | step:4168.18ms
step:66/1788 | loss 6.561984 | lr:0.0012375 | train_time:311.56s | step:4180.15ms
step:67/1788 | loss 6.553607 | lr:0.00125625 | train_time:315.74s | step:4174.50ms
step:68/1788 | loss 6.595785 | lr:0.001275 | train_time:319.90s | step:4167.08ms
step:69/1788 | loss 6.516630 | lr:0.00129375 | train_time:324.08s | step:4176.41ms
step:70/1788 | loss 6.511464 | lr:0.0013125 | train_time:328.27s | step:4190.47ms
step:71/1788 | loss 6.485790 | lr:0.00133125 | train_time:332.46s | step:4186.36ms
step:72/1788 | loss 6.454961 | lr:0.00135 | train_time:336.64s | step:4182.20ms
step:73/1788 | loss 6.484392 | lr:0.00136875 | train_time:340.81s | step:4168.58ms
step:74/1788 | loss 6.449606 | lr:0.0013875 | train_time:344.98s | step:4174.52ms
step:75/1788 | loss 6.467620 | lr:0.00140625 | train_time:349.16s | step:4174.26ms
step:76/1788 | loss 6.428709 | lr:0.001425 | train_time:353.33s | step:4171.03ms
step:77/1788 | loss 6.495409 | lr:0.00144375 | train_time:357.53s | step:4197.34ms
step:78/1788 | loss 6.466833 | lr:0.0014625 | train_time:361.70s | step:4177.81ms
step:79/1788 | loss 6.244496 | lr:0.00148125 | train_time:365.87s | step:4169.96ms
step:80/1788 | loss 6.376599 | lr:0.0015 | train_time:370.04s | step:4170.94ms
step:81/1788 | loss 6.348762 | lr:0.00151875 | train_time:374.21s | step:4163.05ms
step:82/1788 | loss 6.470684 | lr:0.0015375 | train_time:378.38s | step:4169.83ms
step:83/1788 | loss 6.406393 | lr:0.00155625 | train_time:382.55s | step:4174.64ms
step:84/1788 | loss 6.386455 | lr:0.001575 | train_time:386.73s | step:4173.32ms
step:85/1788 | loss 6.338270 | lr:0.00159375 | train_time:390.90s | step:4176.95ms
step:86/1788 | loss 6.313577 | lr:0.0016125 | train_time:395.09s | step:4185.70ms
step:87/1788 | loss 6.301465 | lr:0.00163125 | train_time:399.26s | step:4171.74ms
step:88/1788 | loss 6.280103 | lr:0.00165 | train_time:403.44s | step:4183.62ms
step:89/1788 | loss 6.268442 | lr:0.00166875 | train_time:407.62s | step:4174.37ms
step:90/1788 | loss 6.235425 | lr:0.0016875 | train_time:411.81s | step:4192.56ms
step:91/1788 | loss 6.266944 | lr:0.00170625 | train_time:416.00s | step:4185.63ms
